ActivityType,Date,Favorite,Title,Distance,Calories,Time,AvgHR,MaxHR,AerobicTE,AvgSpeed,MaxSpeed,TotalAscent,TotalDescent,AvgBikeCadence,MaxBikeCadence,NormalizedPower,TrainingStressScore,MaxAvgPower20min,AvgPower,MaxPower,TotalStrokes,MinTemp,Decompression,Best Lap Time,Number of Laps,MaxTemp,AvgResp,MinResp,MaxResp,Moving Time,Elapsed Time,MinElevation,MaxElevation
Road Cycling,2025-04-16 13:53:00,False,Seattle Road Cycling,6.26,156.0,0:16:00,155.0,179.0,2.7,23.5,57.5,37.0,93.0,77.0,118.0,214.0,31.6,,169.0,757.0,937.0,19.0,No,04:45.8,2,22.0,,,,0:15:31,0:18:27,4.0,73.0
Road Cycling,2025-04-15 20:37:00,False,Seattle Road Cycling,8.55,269.0,0:29:53,142.0,175.0,2.9,17.2,43.7,83.0,31.0,72.0,103.0,183.0,45.2,125.0,136.0,741.0,1893.0,14.0,No,0:14:44,2,24.0,,,,0:29:41,0:31:23,4.0,72.0
Road Cycling,2025-04-15 15:46:00,False,Seattle Road Cycling,8.3,199.0,0:23:12,149.0,178.0,2.9,21.5,37.4,28.0,84.0,76.0,111.0,149.0,23.1,117.0,153.0,511.0,1287.0,21.0,No,0:10:07,2,24.0,,,,0:21:48,0:26:56,6.0,73.0
Road Cycling,2025-04-09 16:20:00,False,Redmond Road Cycling,45.68,1201.0,2:11:29,158.0,193.0,5.0,20.8,63.9,415.0,396.0,76.0,152.0,166.0,157.3,167.0,164.0,910.0,7265.0,12.0,No,02:18.1,10,26.0,34.0,19.0,44.0,2:05:12,4:32:44,0.0,183.0
Road Cycling,2025-04-08 20:22:00,False,Seattle Road Cycling,7.95,257.0,0:29:04,155.0,179.0,3.4,16.4,41.2,83.0,23.0,72.0,111.0,148.0,26.7,130.0,149.0,598.0,1657.0,9.0,No,0:12:34,2,25.0,,,,0:26:10,0:35:17,5.0,73.0
Road Cycling,2025-04-08 15:38:00,False,Seattle Road Cycling,6.62,204.0,0:23:49,144.0,184.0,3.1,16.7,39.7,60.0,104.0,64.0,98.0,156.0,24.4,119.0,155.0,491.0,1097.0,13.0,No,07:42.2,2,23.0,,,,0:23:03,0:36:36,6.0,73.0
Resort Skiing,2025-04-02 12:18:00,False,Stevens Pass Ski,8.46,802.0,2:07:02,135.0,182.0,3.3,7.0,34.9,989.0,1008.0,,,,0.0,,,,,,No,08:43.0,9,,,,,1:39:13,2:53:56,1232.0,1484.0
Virtual Cycling,2025-03-31 14:06:00,False,Virtual Cycling,9.47,169.0,0:24:46,157.0,193.0,3.4,22.9,43.4,55.0,,70.0,103.0,158.0,0.0,133.0,119.0,268.0,,,No,0:00:11,13,,,,,0:24:34,0:24:56,-6.0,23.0
Road Cycling,2025-03-25 20:25:00,False,Seattle Road Cycling,8.28,280.0,0:26:59,153.0,179.0,3.8,18.4,36.3,74.0,23.0,71.0,95.0,174.0,57.4,158.0,171.0,631.0,1582.0,13.0,No,0:12:56,2,24.0,,,,0:25:52,0:27:47,8.0,72.0
Road Cycling,2025-03-25 15:51:00,False,Seattle Road Cycling,10.51,286.0,0:30:16,151.0,190.0,4.1,20.8,43.2,40.0,90.0,71.0,106.0,199.0,76.9,141.0,204.0,768.0,1240.0,23.0,No,00:07.5,4,27.0,,,,0:29:25,0:47:30,5.0,73.0
Resort Skiing,2025-03-22 10:51:00,False,Whistler Blackcomb Ski,18.58,1761.0,5:28:27,130.0,188.0,3.4,4.4,31.0,2223.0,2373.0,,,,0.0,,,,,,No,0:14:34,7,,,,,2:53:56,6:31:54,679.0,1879.0
Road Cycling,2025-03-18 20:53:00,False,Seattle Road Cycling,8.45,250.0,0:25:53,163.0,185.0,3.6,19.6,35.2,75.0,25.0,,,,0.0,,,,,9.0,No,00:01.5,3,22.0,,,,0:25:41,0:29:56,7.0,73.0
Road Cycling,2025-03-18 16:27:00,False,Seattle Road Cycling,7.73,227.0,0:22:08,172.0,194.0,4.0,21.0,38.4,23.0,57.0,,,,0.0,,,,,11.0,No,08:50.9,2,18.0,,,,0:21:03,0:25:13,6.0,62.0
Indoor Cycling,2025-03-15 09:55:00,False,Indoor Cycling,0.0,,0:27:43,,,0.0,,,,,,,,0.0,,,,,6.0,No,0:27:43,1,12.0,,,,0:00:00,0:27:44,,
Resort Skiing,2025-03-12 12:24:00,False,Stevens Pass Ski,10.66,760.0,2:38:18,122.0,168.0,2.3,8.4,32.6,1264.0,1282.0,,,,0.0,,,,,,No,0:09:24,12,,,,,2:12:42,3:51:55,1236.0,1485.0
Resort Skiing,2025-03-06 11:01:00,False,Stevens Pass Ski,16.26,1219.0,4:50:12,118.0,172.0,2.3,7.6,35.9,1817.0,1877.0,,,,0.0,,,,,,No,01:06.9,21,,,,,3:48:09,5:05:49,1236.0,1342.0
Resort Skiing,2025-02-27 15:51:00,False,Stevens Pass Ski,12.39,1861.0,6:29:22,127.0,170.0,2.6,3.7,40.9,1368.0,1262.0,,,,0.0,,,,,,No,0:08:01,13,,,,,3:21:08,6:29:22,1230.0,1340.0
Road Cycling,2025-02-23 09:45:00,False,Chilly hilly 2025,52.02,1508.0,2:36:30,171.0,194.0,5.0,19.9,69.0,842.0,847.0,66.0,133.0,166.0,310.5,160.0,145.0,833.0,9350.0,8.0,No,08:34.2,11,18.0,,,,2:36:12,3:09:25,3.0,102.0
Road Cycling,2025-02-23 07:29:00,False,Seattle Road Cycling,9.56,245.0,0:27:57,,,2.6,20.5,49.3,66.0,131.0,67.0,127.0,159.0,54.0,127.0,161.0,640.0,1311.0,8.0,No,0:12:21,2,22.0,,,,0:27:37,0:35:49,5.0,74.0
Resort Skiing,2025-02-20 11:25:00,False,Stevens Pass Ski,19.31,1356.0,5:10:00,127.0,171.0,2.6,8.3,43.2,2075.0,2160.0,,,,0.0,,,,,,No,05:10.0,23,,,,,4:16:17,6:31:59,1237.0,1340.0
Resort Skiing,2025-02-12 16:50:00,False,Stevens Pass Ski,78.95,1121.0,4:20:16,124.0,184.0,2.8,26.8,112.4,960.0,2153.0,,,,0.0,,,,,,No,00:06.5,13,,,,,2:54:31,4:20:19,34.0,1341.0
